Class     | HP   |   Mana   | AD  | AP | Def | MR |	MS   |  Reg  |  MReg  |  CD | Crit | Gouge | Pen  |  STA   |  LS  | Ten | AS   |   Enc |
Horned    | 370  |   215    | 23  | 14 | 24	 | 22 |	105	 |  115	 |   85	  |  0	|  0   |   0   |  0	  |  110   |   0  |	  5	| 0.5  |    0  |
Beast     | 355	 |   220	| 32  | 20 | 22	 | 19 |	115	 |  120	 |   90	  |  0	|  0   |   8   |  0	  |  110   |   5  |	  0	| 0.6  |    0  |
Elf       | 350	 |   250    | 19  | 33 | 17	 | 19 |	107	 |  100	 |  100   |  0	|  0   |   0   |  8	  |   95   |   0  |	  0	| 0.6  |    4  |
Draconic  | 360  |   235    | 27  | 26 | 22	 | 20 |	110	 |  110	 |   85	  |  0	|  0   |   7   |  7	  |  100   |   0  |	  5	| 0.55 |    0  |
Human     | 355	 |   200	| 22  | 18 | 21	 | 18 |	110	 |  105	 |  100   |	 2	|  2   |   2   |  2	  |  100   |   2  |	  2	| 0.6  |    0  |
Fae       | 320  |   230	| 10  | 18 | 15	 | 16 |	109	 |  90	 |  130   |  5	|  0   |   0   |  0	  |   90   |   0  |	  0	| 0.55 |   10  |
Budgie    | 345	 |   225	| 25  | 15 | 20	 | 17 |	119	 |  110	 |   95	  |  0	|  0   |   2   |  0	  |  120   |   0  |	  0	| 0.65 |	0  |
Myst      | 340	 |   225	| 30  | 22 | 20	 | 16 |	119	 |  100	 |   95	  |  0	|  0   |  10   | 10	  |  100   |   5  |	  0	| 0.7  |	0  |
Giant     | 400	 |   210	| 28  | 12 | 30	 | 24 |	 96	 |  110	 |   95	  |  0	|  0   |   0   |  0	  |  100   |   0  |	 10	| 0.35 |	0  |
Tanuki    | 335	 |   215	| 16  | 15 | 16	 | 17 |	120	 |  105	 |  115   |	 0	|  7   |   0   |  0	  |  105   |   0  |	  0	| 0.8  |	2  |
Goblin    | 340	 |   195	| 18  | 10 | 17	 | 15 |	125	 |  130	 |   95	  |  0	|  4   |   0   |  0	  |  110   |   3  |	  0	| 0.75 |	0  |
Dwarf     | 380	 |   240    | 24  | 23 | 18	 | 23 |	102	 |  125	 |  100   |	 0	|  0   |   0   |  0	  |  100   |   0  |	  2	| 0.55 |	4  |
